bow; head: tilts forward; hand: arms remain at the sides or rest naturally in front; foot: stays planted and close together; hip: bends forward in a polite bowing motion
brushing hair; head: tilts slightly or stays level; hand: one hand moves repeatedly around the head as if brushing hair; foot: remains stationary; hip: stays upright with slight balance adjustment
brushing teeth; head: tilts slightly downward toward the hand; hand: one hand moves repeatedly near the mouth as if brushing teeth; foot: remains stationary; hip: stays upright
check time (from watch); head: looks down toward the wrist; hand: one hand raises the opposite wrist while the other may point or adjust the watch; foot: remains stationary; hip: stays upright
cheer up; head: lifts and faces forward; hand: one or both hands raise upward in an encouraging or celebratory gesture; foot: may shift lightly in place; hip: extends upward with energized posture
clapping; head: faces forward; hand: both hands move together repeatedly to clap in front of the chest; foot: remains stationary; hip: stays upright with slight rhythmic movement
cross hands in front (say stop); head: faces forward toward the other person; hand: both arms cross or extend in front of the body to block or signal stop; foot: remains planted; hip: stays upright and firm
drink water; head: tilts slightly back or toward the cup or bottle; hand: one hand lifts a drink container to the mouth; foot: remains stationary; hip: stays upright
drop; head: looks downward toward the object or floor; hand: one hand lowers and opens to release an object; foot: remains stationary; hip: may tilt slightly forward
eat meal/snack; head: tilts slightly downward toward the food; hand: one hand repeatedly brings food to the mouth while the other may hold the container; foot: remains stationary; hip: stays upright or slightly leaned forward
falling; head: drops suddenly downward or forward; hand: arms move outward or downward for balance during the fall; foot: loses stable support or collapses; hip: descends rapidly toward the ground
giving something to other person; head: turns or looks toward the other person; hand: one hand extends forward to offer an object; foot: may step slightly forward; hip: leans slightly toward the receiver
hand waving; head: faces the target or forward; hand: one hand lifts and moves side to side in the air; foot: remains stationary; hip: stays upright
handshaking; head: faces the other person; hand: one hand extends forward and grips the other person's hand briefly; foot: may step slightly forward; hip: leans slightly toward the other person
hopping (one foot jumping); head: stays level or bobs slightly; hand: arms may swing for balance; foot: one foot repeatedly leaves and lands on the ground while the other stays lifted; hip: bounces vertically on one side
hugging other person; head: moves toward the other person; hand: both arms wrap around the other person; foot: steps in close or remains planted; hip: leans forward into the embrace
jump up; head: rises vertically with the body; hand: arms may swing upward for momentum; foot: both feet leave the ground together and land together; hip: extends upward in a strong vertical motion
kicking other person; head: faces the other person; hand: arms move for balance; foot: one leg lifts and extends forward toward the other person; hip: shifts weight to the standing leg and rotates slightly
kicking something; head: looks toward the target object; hand: arms move slightly for balance; foot: one leg swings forward to strike the object; hip: rotates and shifts weight during the kick
make a phone call/answer phone; head: tilts slightly toward one side; hand: one hand lifts to the ear as if holding a phone; foot: remains stationary; hip: stays upright
pat on back of other person; head: faces the other person; hand: one hand reaches to tap or pat the other person's back; foot: steps close or remains planted; hip: leans slightly toward the other person
pickup; head: tilts downward toward the object; hand: one hand reaches downward to grasp and lift an object; foot: remains stationary or slightly apart; hip: bends forward to reach the object
playing with phone/tablet; head: looks downward at the device; hand: both hands hold and tap or swipe on a phone or tablet; foot: remains stationary; hip: stays upright or slightly leaned forward
point finger at the other person; head: faces the other person; hand: one arm extends forward with the index finger directed at the other person; foot: remains stationary; hip: stays upright or leans slightly forward
pointing to something with finger; head: looks toward the indicated direction or object; hand: one arm extends with the index finger pointing outward; foot: remains stationary; hip: stays upright
punching/slapping other person; head: faces the other person; hand: one hand swings quickly forward to strike the other person; foot: may step forward for reach; hip: rotates or drives forward during the strike
pushing other person; head: faces the other person; hand: one or both hands press forward against the other person; foot: braces on the ground or steps forward; hip: leans forward to apply force
put on a hat/cap; head: tilts slightly downward or stays still; hand: one or both hands lift a hat toward the top of the head and place it on; foot: remains stationary; hip: stays upright
put something inside pocket; head: looks downward toward the pocket area; hand: one hand moves an object toward the pocket and inserts it; foot: remains stationary; hip: stays upright or slightly bent
reading; head: tilts downward and stays focused on the reading material; hand: one or both hands hold a book or paper steadily with little motion; foot: remains stationary; hip: stays upright or slightly leaned forward
rub two hands together; head: faces forward or looks at the hands; hand: both hands press together and move back and forth repeatedly; foot: remains stationary; hip: stays upright
salute; head: faces forward; hand: one hand lifts to the forehead in a salute posture; foot: remains planted; hip: stays upright and straight
sitting down; head: moves slightly downward while facing forward; hand: may move forward for balance or rest near the thighs; foot: planted firmly on the ground; hip: moves back and down into a seated position
standing up; head: rises upward; hand: may push from a support or swing slightly for momentum; foot: pushes against the floor; hip: moves forward and up from a seated position
take off a hat/cap; head: tilts slightly downward or stays still; hand: one or both hands reach to the head and lift the hat away; foot: remains stationary; hip: stays upright
take off glasses; head: stays level or tilts slightly downward; hand: one or both hands reach to the face and remove the glasses forward; foot: remains stationary; hip: stays upright
take off jacket; head: tilts down slightly to assist; hand: both hands pull the jacket off the shoulders or arms; foot: may shift slightly for balance; hip: twists or shifts while removing the jacket
take out something from pocket; head: looks downward toward the pocket; hand: one hand reaches into the pocket and pulls an object out; foot: remains stationary; hip: stays upright or slightly bent
taking a selfie; head: turns slightly toward the camera direction and poses; hand: one hand extends outward holding a phone toward the face; foot: remains stationary; hip: stays upright with a slight pose adjustment
tear up paper; head: looks downward at the paper; hand: both hands hold and pull the paper apart in opposite directions; foot: remains stationary; hip: stays upright or slightly leaned forward
throw; head: tracks the target direction; hand: one hand moves back then accelerates forward to release an object; foot: front foot may step forward for balance; hip: rotates toward the direction of the throw
touch back (backache); head: tilts slightly downward or backward in discomfort; hand: one hand reaches to the lower or middle back; foot: remains stationary; hip: bends or twists slightly as if in pain
touch chest (stomachache/heart pain); head: tilts downward in discomfort; hand: one or both hands press against the chest or upper stomach area; foot: remains stationary; hip: hunches slightly forward
touch head (headache); head: tilts slightly downward or remains still; hand: one hand touches or holds the head or forehead; foot: remains stationary; hip: stays upright or slightly hunched
touch neck (neckache); head: tilts to one side or forward; hand: one hand reaches to the neck area; foot: remains stationary; hip: stays upright with slight tension
typing on a keyboard; head: looks downward toward the keyboard; hand: both hands move rapidly with small repeated finger motions over the keyboard; foot: remains stationary; hip: stays seated or slightly leaned forward
use a fan (with hand or paper)/feeling warm; head: tilts slightly upward or remains level; hand: one hand moves repeatedly near the face as if fanning air; foot: remains stationary; hip: stays upright
wear jacket; head: tilts slightly down to assist dressing; hand: both hands guide the jacket onto the arms and shoulders; foot: may shift slightly for balance; hip: shifts weight while putting it on
wear on glasses; head: stays level or tilts slightly forward; hand: one or both hands lift the glasses to the face and place them over the eyes; foot: remains stationary; hip: stays upright
wipe face; head: tilts slightly downward or to the side; hand: one hand moves across the face as if wiping sweat or moisture; foot: remains stationary; hip: stays upright
writing; head: looks downward toward the writing surface; hand: one hand performs small repeated strokes while the other may steady the paper; foot: remains stationary; hip: leans slightly forward
